W;H;Balance;CountClass;CountImg;FPS_GPU;FPS_CPU;mAP50;Model;;;;;;
1920;1080;94;28;5948;20.2;242.2;0.503;1;;;;;;
1920;1080;94;28;5948;16.3;151.4;0.444;2;;;;;;
1920;1080;94;28;5948;12.5;55.3;0.452;3;;;;;;
1920;1080;94;28;5948;12.6;76.2;0.52;4;;;;;;
1920;1080;94;28;5948;23.9;417.1;0.512;5;;;;;;
1920;1080;94;28;5948;68.7;250.5;0.555;6;;;;;;
1920;1080;94;28;5948;68.3;180.1;0.53;7;;;;;;
1920;1080;94;28;5948;69.1;85.7;0.473;8;;;;;;
1920;1080;94;28;5948;28.3;456.6;0.536 ;9;;;;;;
1920;1080;94;28;5948;24.7;442.2;0.478;10;;;;;;
1920;1080;94;28;5948;13.9;92.3;0.51;11;;;;;;
1920;1080;94;28;5948;13.3;57.6;0.466;12;;;;;;
1920;1080;94;28;5948;17.4;183.2;0.512;13;;;;;;
800;600;64;5;1016;20.3;276.5;0.724 ;1;;;;;;
800;600;64;5;1016;16.8;165.7;0.745;2;;;;;;
800;600;64;5;1016;12.4;55.1;0.718;3;;;;;;
800;600;64;5;1016;13.5;84.8;0.709;4;;;;;;
800;600;64;5;1016;24.9;462.8;0.663;5;;;;;;
800;600;64;5;1016;7.9;57.7;0.73;6;;;;;;
800;600;64;5;1016;8.4;36.2;0.661;7;;;;;;
800;600;64;5;1016;6.3;10.7;0.607 ;8;;;;;;
800;600;64;5;1016;30.3;571.9; 0.743 ;9;;;;;;
800;600;64;5;1016;25.0;523.7;0.739 ;10;;;;;;
800;600;64;5;1016;14.7;100.8;0.699;11;;;;;;
800;600;64;5;1016;12.8;57.8;0.778;12;;;;;;
800;600;64;5;1016;18.6;214.6;0.759;13;;;;;;
256;256;85;7;802;18.0;130.8;0.893;1;;;;;;
256;256;85;7;802;14.8;77.2;0.899;2;;;;;;
256;256;85;7;802;10.0;30.4;0.858;3;;;;;;
256;256;85;7;802;11.4;44.2;0.915;4;;;;;;
256;256;85;7;802;22.4;166.2; 0.883;5;;;;;;
256;256;85;7;802;2.1;12.4;0.85;6;;;;;;
256;256;85;7;802;3.9;9.1;0.872;7;;;;;0.81, 0.776, 0.824, 0.771, 0.772, 0.766, 0.816;
256;256;85;7;802;3.6;3.2;0.851;8;;;;;;
256;256;85;7;802;29.3;117.7;0.902;9;;;;;;
256;256;85;7;802;17.3;180.9;0.906 ;10;;;;;;
256;256;85;7;802;10.2;51.1; 0.899;11;;;;;;
256;256;85;7;802;8.9;47.4;0.869;12;;;;;;
256;256;85;7;802;17.1;86.7;0.903 ;13;;;;;;
416;416;95;30;2567;19.5;177.6;0.639;1;;;;;;
416;416;95;30;2567;15.4;109.3;0.645;2;;;;;;
416;416;95;30;2567;10.4;43.5;0.55;3;;;;;;
416;416;95;30;2567;11.3;63.5;0.636;4;;;;;;
416;416;95;30;2567;21.8;287.5;0.659;5;;;;;;
416;416;95;30;2567;13.7;74.0;0.626 ;6;;;;;;
416;416;95;30;2567;12.0;43.5;0.648;7;;;;;;0.766, 0.796, 0.865, 0.895, 0.769, 0.885, 0.822, 0.851, 0.789, 0.772, 0.851, 0.807, 0.858
416;416;95;30;2567;11.0;17.6;0.608;8;;;;;;
416;416;95;30;2567;29.1;332.5;0.609;9;;;;;;
416;416;95;30;2567;21.9;330.0;0.634;10;;;;;;
416;416;95;30;2567;14.1;75.6;0.617;11;;;;;;
416;416;95;30;2567;13.4;48.7; 0.562;12;;;;;;
416;416;95;30;2567;18.2;137.0;0.627;13;;;;;;
1024;768;77;8;4828;18.4;283.0;0.337;1;;;;;;
1024;768;77;8;4828;16.2;171.5;0.335;2;;;;;;
1024;768;77;8;4828;10.8;57.5;0.31;3;;;;;;
1024;768;77;8;4828;11.6;90.2;0.327;4;;;;;;
1024;768;77;8;4828;27.5;473.3;0.00103;5;;;;;;
1024;768;77;8;4828;50.0;263.2;0.38 ;6;;;;;;
1024;768;77;8;4828;50.2;182.3;0.361;7;;;;;;
1024;768;77;8;4828;47.2;63.7;0.331;8;;;;;;
1024;768;77;8;4828;29.8;600.1;0.347;9;;;;;;
1024;768;77;8;4828;24.6;542.8;0.394;10;;;;;;
1024;768;77;8;4828;13.8;97.4; 0.384;11;;;;;;
1024;768;77;8;4828;13.0;58.0;0.377;12;;;;;;
1024;768;77;8;4828;18.3;200.3;0.394;13;;;;;;